supplier_id,supplier_name,material_category,region,risk_profile,total_orders,total_purchase_amount,on_time_rate,late_rate,avg_delay_days,fill_rate,rejection_rate,average_unit_price,average_price_deviation_rate,price_volatility,off_contract_rate,total_ordered_quantity,total_received_quantity,total_rejected_quantity,contract_price,annual_capacity,moq,mpq,shortage_rate,delivery_risk_points,quality_risk_points,fulfillment_risk_points,price_risk_points,compliance_risk_points,risk_score,risk_level,risk_rank
SUP028,模拟供应商28,存储芯片,华北,稳定型,60,23055060.0,0.9167,0.0833,0.2667,0.9858,0.008,42.7968,0.0002,0.0178,0.0167,538500,530841,4261,42.79,610000,1000,500,0.0142,4.282,0.1579,0.293,0.4853,0.6831,5.9013,低风险,20
SUP019,模拟供应商19,传感器芯片,华北,稳定型,60,13414390.0,0.9333,0.0667,0.3167,0.9858,0.008,27.562,0.0001,0.0217,0.0167,486500,479588,3827,27.56,540000,3000,500,0.0142,3.2147,0.1579,0.293,1.0588,0.6831,5.4076,低风险,21
SUP002,模拟供应商02,MCU控制芯片,海外,稳定型,60,17639727.0,0.95,0.05,0.0833,0.9846,0.0077,34.8233,0.0004,0.0199,0.0333,507000,499198,3850,34.81,280000,600,100,0.0154,2.141,0.0,0.6445,0.7941,1.3621,4.9418,低风险,22
SUP021,模拟供应商21,传感器芯片,海外,稳定型,60,13861850.0,0.9167,0.0833,0.2833,0.9862,0.0081,25.281,-0.0004,0.0163,0.0,548500,540947,4366,25.29,450000,3000,500,0.0138,4.282,0.2105,0.1758,0.2647,0.0,4.9331,低风险,23
SUP022,模拟供应商22,传感器芯片,华北,稳定型,60,16298150.0,0.9333,0.0667,0.1333,0.9844,0.0079,30.2933,0.0021,0.0156,0.0167,538500,530096,4165,30.23,470000,1000,500,0.0156,3.2147,0.1053,0.7031,0.1618,0.6831,4.868,低风险,24
SUP003,模拟供应商03,MCU控制芯片,华南,稳定型,60,15762455.0,0.9667,0.0333,0.0833,0.9829,0.0079,32.8273,-0.0025,0.0171,0.0167,479500,471319,3740,32.91,600000,3000,500,0.0171,1.0673,0.1053,1.1426,0.3824,0.6831,3.3806,低风险,25
SUP014,模拟供应商14,模拟芯片,西南,稳定型,60,10563370.0,0.95,0.05,0.1333,0.9845,0.008,19.8355,-0.0002,0.0167,0.0,533500,525219,4215,19.84,500000,2000,500,0.0155,2.141,0.1579,0.6738,0.3235,0.0,3.2963,低风险,26
SUP007,模拟供应商07,功率半导体,海外,稳定型,60,12296618.0,0.9667,0.0333,0.1667,0.9851,0.0082,25.7823,0.0032,0.0145,0.0333,477400,470291,3876,25.7,350000,400,200,0.0149,1.0673,0.2632,0.498,0.0,1.3621,3.1906,低风险,27
SUP030,模拟供应商30,存储芯片,华北,稳定型,60,24434392.0,0.95,0.05,0.1,0.9853,0.008,47.4425,-0.0027,0.0173,0.0,515000,507445,4082,47.57,310000,800,200,0.0147,2.141,0.1579,0.4395,0.4118,0.0,3.1501,低风险,28
SUP029,模拟供应商29,存储芯片,华北,稳定型,60,20740341.0,0.9833,0.0167,0.0333,0.9868,0.0078,49.4938,-0.0003,0.0172,0.0167,418900,413372,3243,49.51,630000,400,100,0.0132,0.0,0.0526,0.0,0.3971,0.6831,1.1328,低风险,29
SUP025,模拟供应商25,存储芯片,西南,稳定型,60,22387035.0,0.9833,0.0167,0.0167,0.986,0.008,42.3643,0.0039,0.0152,0.0,528000,520628,4148,42.2,560000,2000,500,0.014,0.0,0.1579,0.2344,0.1029,0.0,0.4952,低风险,30
