supplier_id,supplier_name,material_category,region,risk_profile,total_orders,total_purchase_amount,on_time_rate,late_rate,avg_delay_days,fill_rate,rejection_rate,average_unit_price,average_price_deviation_rate,price_volatility,off_contract_rate,total_ordered_quantity,total_received_quantity,total_rejected_quantity,contract_price,annual_capacity,moq,mpq
SUP011,模拟供应商11,功率半导体,华北,交付风险型,60,13283519.0,0.6167,0.3833,3.45,0.9575,0.0121,25.8497,0.007,0.0258,0.05,512900,491078,5962,25.67,600000,600,100
SUP012,模拟供应商12,功率半导体,华北,交付风险型,60,12467793.0,0.6833,0.3167,2.9167,0.9619,0.0119,24.189,0.0066,0.0304,0.0833,514500,494889,5884,24.03,470000,600,100
SUP013,模拟供应商13,模拟芯片,西南,稳定型,60,9125594.0,0.9,0.1,0.4,0.983,0.0083,19.317,0.0024,0.0203,0.0167,473000,464967,3873,19.27,300000,200,100
SUP014,模拟供应商14,模拟芯片,西南,稳定型,60,10563370.0,0.95,0.05,0.1333,0.9845,0.008,19.8355,-0.0002,0.0167,0.0,533500,525219,4215,19.84,500000,2000,500
SUP015,模拟供应商15,模拟芯片,西南,交付风险型,60,9081546.0,0.6667,0.3333,3.0833,0.9564,0.012,17.1715,0.0036,0.0323,0.0667,528200,505153,6087,17.11,500000,400,200
SUP016,模拟供应商16,模拟芯片,华北,稳定型,60,8101168.0,0.9,0.1,0.3167,0.9842,0.0079,16.6167,0.0028,0.0204,0.0167,488200,480473,3816,16.57,370000,800,200
SUP017,模拟供应商17,模拟芯片,海外,稳定型,60,8147585.0,0.8167,0.1833,0.6,0.9832,0.008,15.6547,0.0003,0.0209,0.05,521000,512255,4079,15.65,350000,1000,500
SUP018,模拟供应商18,模拟芯片,华北,稳定型,60,9981855.0,0.9167,0.0833,0.1833,0.983,0.008,19.3112,0.0042,0.0223,0.05,518000,509171,4093,19.23,300000,1000,500
SUP019,模拟供应商19,传感器芯片,华北,稳定型,60,13414390.0,0.9333,0.0667,0.3167,0.9858,0.008,27.562,0.0001,0.0217,0.0167,486500,479588,3827,27.56,540000,3000,500
SUP020,模拟供应商20,传感器芯片,华东,质量风险型,60,12975257.0,0.8,0.2,0.85,0.9729,0.0402,23.9372,-0.003,0.0248,0.0333,542500,527808,21216,24.01,290000,200,100
SUP021,模拟供应商21,传感器芯片,海外,稳定型,60,13861850.0,0.9167,0.0833,0.2833,0.9862,0.0081,25.281,-0.0004,0.0163,0.0,548500,540947,4366,25.29,450000,3000,500
SUP022,模拟供应商22,传感器芯片,华北,稳定型,60,16298150.0,0.9333,0.0667,0.1333,0.9844,0.0079,30.2933,0.0021,0.0156,0.0167,538500,530096,4165,30.23,470000,1000,500
SUP023,模拟供应商23,传感器芯片,西南,稳定型,60,16571010.0,0.9333,0.0667,0.2167,0.9839,0.0078,29.6825,0.0021,0.0196,0.0333,559000,550001,4297,29.62,380000,400,200
SUP024,模拟供应商24,传感器芯片,海外,综合风险型,60,13094690.0,0.5167,0.4833,6.4,0.9356,0.0552,24.9162,0.0011,0.1165,0.25,521000,487440,26907,24.89,400000,1000,500
SUP025,模拟供应商25,存储芯片,西南,稳定型,60,22387035.0,0.9833,0.0167,0.0167,0.986,0.008,42.3643,0.0039,0.0152,0.0,528000,520628,4148,42.2,560000,2000,500
SUP026,模拟供应商26,存储芯片,华北,稳定型,60,27120329.0,0.9333,0.0667,0.1,0.984,0.0077,49.1485,0.0051,0.0251,0.05,551900,543054,4174,48.9,600000,600,100
SUP027,模拟供应商27,存储芯片,华东,综合风险型,60,25559444.0,0.5167,0.4833,5.6333,0.9425,0.0547,52.998,0.0261,0.0984,0.35,483900,456081,24970,51.65,290000,200,100
SUP028,模拟供应商28,存储芯片,华北,稳定型,60,23055060.0,0.9167,0.0833,0.2667,0.9858,0.008,42.7968,0.0002,0.0178,0.0167,538500,530841,4261,42.79,610000,1000,500
SUP029,模拟供应商29,存储芯片,华北,稳定型,60,20740341.0,0.9833,0.0167,0.0333,0.9868,0.0078,49.4938,-0.0003,0.0172,0.0167,418900,413372,3243,49.51,630000,400,100
SUP030,模拟供应商30,存储芯片,华北,稳定型,60,24434392.0,0.95,0.05,0.1,0.9853,0.008,47.4425,-0.0027,0.0173,0.0,515000,507445,4082,47.57,310000,800,200
