po_id,supplier_id,material_category,order_date,promised_date,delivery_date,ordered_quantity,received_quantity,rejected_quantity,contract_price,actual_unit_price,is_contract
PO01287,SUP022,传感器芯片,2025-01-04,2025-01-24,2025-01-21,7000,6967,40,30.23,30.79,1
PO01534,SUP026,存储芯片,2025-01-04,2025-02-13,2025-02-11,10300,10162,81,48.9,49.95,1
PO00563,SUP010,功率半导体,2025-01-05,2025-02-11,2025-02-09,3800,3691,37,21.51,21.97,1
PO00673,SUP012,功率半导体,2025-01-05,2025-01-21,2025-01-27,14300,13734,152,24.03,24.0,1
PO01401,SUP024,传感器芯片,2025-01-05,2025-01-30,2025-02-07,12000,11681,697,24.89,23.82,1
PO01580,SUP027,存储芯片,2025-01-05,2025-01-31,2025-02-14,8000,7203,380,51.65,59.1,0
PO01673,SUP028,存储芯片,2025-01-05,2025-02-04,2025-02-01,4000,3927,36,42.79,42.81,1
PO01768,SUP030,存储芯片,2025-01-05,2025-01-21,2025-01-20,7400,7261,65,47.57,48.44,1
PO00589,SUP010,功率半导体,2025-01-06,2025-02-15,2025-02-15,9200,9004,88,21.51,21.82,1
PO00602,SUP011,功率半导体,2025-01-06,2025-02-12,2025-02-09,11100,10758,145,25.67,25.74,1
PO00679,SUP012,功率半导体,2025-01-06,2025-01-21,2025-02-01,14100,13867,180,24.03,23.19,1
PO00698,SUP012,功率半导体,2025-01-06,2025-01-20,2025-01-30,7300,6960,74,24.03,23.3,1
PO00767,SUP013,模拟芯片,2025-01-06,2025-02-07,2025-02-04,6400,6304,52,19.27,18.92,1
PO01071,SUP018,模拟芯片,2025-01-06,2025-02-02,2025-02-01,13500,13153,99,19.23,19.45,1
PO01662,SUP028,存储芯片,2025-01-06,2025-02-07,2025-02-06,13000,12710,98,42.79,42.88,1
PO00010,SUP001,MCU控制芯片,2025-01-07,2025-02-11,2025-02-23,12000,10848,562,40.43,45.06,0
PO00184,SUP004,MCU控制芯片,2025-01-07,2025-02-22,2025-02-22,6600,6461,84,32.43,30.73,1
PO00510,SUP009,功率半导体,2025-01-07,2025-01-31,2025-01-28,9500,9124,128,23.47,20.3,1
PO00593,SUP010,功率半导体,2025-01-07,2025-02-16,2025-02-14,11400,11297,97,21.51,22.08,1
PO00609,SUP011,功率半导体,2025-01-07,2025-02-09,2025-02-23,11000,10603,125,25.67,26.25,1
PO00829,SUP014,模拟芯片,2025-01-07,2025-02-09,2025-02-09,9500,9306,61,19.84,19.62,1
PO01162,SUP020,传感器芯片,2025-01-07,2025-02-13,2025-02-11,9400,9066,344,24.01,24.05,1
PO01554,SUP026,存储芯片,2025-01-07,2025-02-12,2025-02-10,14900,14722,108,48.9,47.86,1
PO01664,SUP028,存储芯片,2025-01-07,2025-02-05,2025-02-02,15000,14821,145,42.79,46.45,0
PO00281,SUP005,MCU控制芯片,2025-01-08,2025-02-03,2025-02-02,5000,4793,74,34.47,40.2,0
PO00361,SUP007,功率半导体,2025-01-08,2025-02-02,2025-01-30,7200,7051,72,25.7,25.93,1
PO00459,SUP008,功率半导体,2025-01-08,2025-02-17,2025-02-15,12800,12455,534,25.95,26.17,1
PO01070,SUP018,模拟芯片,2025-01-08,2025-02-06,2025-02-05,9500,9409,69,19.23,19.26,1
PO00048,SUP001,MCU控制芯片,2025-01-09,2025-02-11,2025-02-09,10400,9374,528,40.43,40.63,0
PO00478,SUP008,功率半导体,2025-01-09,2025-02-16,2025-02-16,12100,11388,457,25.95,25.92,1
PO01075,SUP018,模拟芯片,2025-01-09,2025-02-09,2025-02-11,3500,3439,24,19.23,19.33,1
PO01295,SUP022,传感器芯片,2025-01-09,2025-01-28,2025-01-25,6500,6415,59,30.23,30.22,1
PO01352,SUP023,传感器芯片,2025-01-09,2025-02-04,2025-02-02,8400,8321,63,29.62,30.56,1
PO01397,SUP024,传感器芯片,2025-01-09,2025-02-01,2025-01-31,5500,5482,304,24.89,22.19,1
PO01470,SUP025,存储芯片,2025-01-09,2025-02-23,2025-02-20,7000,6838,55,42.2,41.73,1
PO01490,SUP025,存储芯片,2025-01-09,2025-02-22,2025-02-20,8500,8330,62,42.2,43.2,1
PO01577,SUP027,存储芯片,2025-01-09,2025-02-04,2025-02-03,8200,8012,450,51.65,50.53,0
PO00344,SUP006,MCU控制芯片,2025-01-10,2025-02-14,2025-02-16,2700,2689,96,32.85,32.09,1
PO00458,SUP008,功率半导体,2025-01-10,2025-02-17,2025-02-17,5400,5342,196,25.95,26.2,1
PO00461,SUP008,功率半导体,2025-01-10,2025-02-19,2025-02-20,12400,12260,493,25.95,25.51,1
PO00867,SUP015,模拟芯片,2025-01-10,2025-01-23,2025-01-23,11000,10403,121,17.11,18.53,0
PO00872,SUP015,模拟芯片,2025-01-10,2025-01-27,2025-02-08,12600,12202,162,17.11,16.81,1
PO00897,SUP015,模拟芯片,2025-01-10,2025-01-27,2025-01-24,13600,13407,184,17.11,17.86,1
PO00960,SUP016,模拟芯片,2025-01-10,2025-02-25,2025-02-25,12000,11735,64,16.57,16.89,1
PO01228,SUP021,传感器芯片,2025-01-10,2025-02-12,2025-02-16,3000,2939,27,25.29,25.78,1
PO01444,SUP025,存储芯片,2025-01-10,2025-02-25,2025-02-23,10000,9889,64,42.2,42.75,1
PO00186,SUP004,MCU控制芯片,2025-01-11,2025-02-20,2025-02-18,9600,9492,127,32.43,30.92,1
PO00778,SUP013,模拟芯片,2025-01-11,2025-02-12,2025-02-09,14600,14226,121,19.27,18.72,1
PO00919,SUP016,模拟芯片,2025-01-11,2025-02-26,2025-02-26,13200,13156,97,16.57,16.38,1
PO01341,SUP023,传感器芯片,2025-01-11,2025-02-06,2025-02-06,10400,10245,73,29.62,29.74,1
PO01442,SUP025,存储芯片,2025-01-11,2025-02-23,2025-02-21,12000,11945,91,42.2,41.37,1
PO01793,SUP030,存储芯片,2025-01-11,2025-01-31,2025-01-28,13800,13660,101,47.57,47.25,1
PO00194,SUP004,MCU控制芯片,2025-01-12,2025-02-23,2025-02-21,5800,5577,88,32.43,31.08,1
PO00212,SUP004,MCU控制芯片,2025-01-12,2025-02-23,2025-02-22,12000,11627,181,32.43,34.99,0
PO00224,SUP004,MCU控制芯片,2025-01-13,2025-02-27,2025-02-25,13000,12932,191,32.43,34.97,1
PO00303,SUP006,MCU控制芯片,2025-01-13,2025-02-16,2025-02-14,8200,8051,345,32.85,32.89,1
PO00342,SUP006,MCU控制芯片,2025-01-13,2025-02-16,2025-02-20,3800,3652,153,32.85,32.91,1
PO00655,SUP011,功率半导体,2025-01-13,2025-02-19,2025-03-03,10000,9347,125,25.67,25.28,1
PO00933,SUP016,模拟芯片,2025-01-13,2025-02-24,2025-02-24,7600,7506,52,16.57,16.57,1
PO01005,SUP017,模拟芯片,2025-01-13,2025-02-03,2025-02-08,7500,7288,60,15.65,15.64,1
PO01364,SUP023,传感器芯片,2025-01-13,2025-02-06,2025-02-04,15000,14862,105,29.62,29.95,1
PO01537,SUP026,存储芯片,2025-01-13,2025-02-18,2025-02-16,10000,9902,68,48.9,48.76,1
PO00006,SUP001,MCU控制芯片,2025-01-14,2025-02-15,2025-02-27,14400,14289,795,40.43,35.26,1
PO00032,SUP001,MCU控制芯片,2025-01-14,2025-02-16,2025-03-03,13200,12943,703,40.43,43.96,0
PO00486,SUP009,功率半导体,2025-01-14,2025-02-07,2025-02-06,13000,12884,184,23.47,26.93,0
PO00736,SUP013,模拟芯片,2025-01-15,2025-02-16,2025-02-14,9100,8846,75,19.27,19.85,1
PO00889,SUP015,模拟芯片,2025-01-15,2025-01-27,2025-01-31,11400,11220,136,17.11,17.14,1
PO01049,SUP018,模拟芯片,2025-01-15,2025-02-14,2025-02-11,5500,5394,39,19.23,20.73,0
PO01532,SUP026,存储芯片,2025-01-15,2025-02-22,2025-02-22,13600,13306,105,48.9,46.53,1
PO00219,SUP004,MCU控制芯片,2025-01-16,2025-03-03,2025-03-01,2600,2534,39,32.43,32.59,1
PO01548,SUP026,存储芯片,2025-01-16,2025-02-19,2025-02-16,6400,6275,49,48.9,49.16,1
PO01797,SUP030,存储芯片,2025-01-16,2025-02-04,2025-02-04,2800,2769,26,47.57,46.33,1
PO00086,SUP002,MCU控制芯片,2025-01-17,2025-02-17,2025-02-17,3800,3773,31,34.81,33.5,1
PO00373,SUP007,功率半导体,2025-01-17,2025-02-16,2025-02-14,7400,7338,62,25.7,25.87,1
PO00534,SUP009,功率半导体,2025-01-17,2025-02-06,2025-02-06,4500,4365,58,23.47,27.04,0
PO00939,SUP016,模拟芯片,2025-01-17,2025-03-03,2025-03-02,2600,2555,15,16.57,16.24,1
PO01420,SUP024,传感器芯片,2025-01-17,2025-02-11,2025-02-09,10000,9803,564,24.89,29.86,0
PO00467,SUP008,功率半导体,2025-01-18,2025-02-24,2025-02-22,4400,4336,161,25.95,26.82,1
PO00483,SUP009,功率半导体,2025-01-18,2025-02-11,2025-02-08,4000,3857,50,23.47,27.66,0
PO00647,SUP011,功率半导体,2025-01-18,2025-02-21,2025-02-19,3500,3356,43,25.67,25.25,1
PO00992,SUP017,模拟芯片,2025-01-18,2025-02-09,2025-02-18,13000,12653,107,15.65,15.57,1
PO00076,SUP002,MCU控制芯片,2025-01-19,2025-02-13,2025-02-11,13100,12807,91,34.81,35.01,1
PO00435,SUP008,功率半导体,2025-01-19,2025-02-28,2025-02-27,8800,8442,336,25.95,25.25,1
PO00644,SUP011,功率半导体,2025-01-19,2025-02-24,2025-02-23,9300,8694,97,25.67,26.24,1
PO01494,SUP025,存储芯片,2025-01-19,2025-03-05,2025-03-03,10500,10359,87,42.2,43.36,1
PO01780,SUP030,存储芯片,2025-01-19,2025-02-08,2025-02-07,3200,3114,27,47.57,47.27,1
PO00262,SUP005,MCU控制芯片,2025-01-20,2025-02-16,2025-02-19,7500,7210,122,34.47,40.75,0
PO00439,SUP008,功率半导体,2025-01-20,2025-02-26,2025-02-25,5400,5086,187,25.95,26.4,1
PO00774,SUP013,模拟芯片,2025-01-20,2025-02-19,2025-02-19,13400,13118,99,19.27,19.06,1
PO01199,SUP020,传感器芯片,2025-01-20,2025-02-24,2025-02-22,8500,8074,334,24.01,24.7,1
PO00017,SUP001,MCU控制芯片,2025-01-21,2025-02-26,2025-02-25,11600,11393,620,40.43,52.18,0
PO00537,SUP009,功率半导体,2025-01-21,2025-02-16,2025-02-14,7500,7314,112,23.47,23.31,1
PO00581,SUP010,功率半导体,2025-01-21,2025-02-28,2025-03-03,10300,10056,85,21.51,21.45,1
PO00783,SUP014,模拟芯片,2025-01-21,2025-02-23,2025-02-21,11500,11326,110,19.84,19.74,1
PO00982,SUP017,模拟芯片,2025-01-21,2025-02-14,2025-02-14,7500,7437,53,15.65,15.52,1
PO01692,SUP029,存储芯片,2025-01-21,2025-02-25,2025-02-23,5000,4914,35,49.51,48.3,1
PO00821,SUP014,模拟芯片,2025-01-22,2025-02-22,2025-02-22,11500,11245,81,19.84,19.51,1
PO01384,SUP024,传感器芯片,2025-01-22,2025-02-14,2025-03-02,3500,3344,183,24.89,21.03,1
PO01475,SUP025,存储芯片,2025-01-22,2025-03-05,2025-03-03,15000,14660,118,42.2,43.23,1
PO01530,SUP026,存储芯片,2025-01-22,2025-03-02,2025-03-01,13000,12629,102,48.9,50.02,1
PO01565,SUP027,存储芯片,2025-01-22,2025-02-22,2025-03-07,8800,8722,458,51.65,49.88,0
PO01601,SUP027,存储芯片,2025-01-22,2025-02-19,2025-03-04,12400,11284,586,51.65,47.98,1
PO01611,SUP027,存储芯片,2025-01-22,2025-02-23,2025-02-20,5900,5604,289,51.65,57.76,0
PO01621,SUP028,存储芯片,2025-01-22,2025-02-25,2025-02-25,5000,4997,36,42.79,41.73,1
PO00311,SUP006,MCU控制芯片,2025-01-23,2025-02-25,2025-02-24,13300,12879,547,32.85,33.62,1
PO00385,SUP007,功率半导体,2025-01-23,2025-02-22,2025-02-19,7600,7483,63,25.7,25.16,1
PO01513,SUP026,存储芯片,2025-01-23,2025-03-02,2025-03-03,13000,12658,100,48.9,48.62,1
PO00781,SUP014,模拟芯片,2025-01-24,2025-02-24,2025-02-23,13500,13214,118,19.84,20.16,1
PO01514,SUP026,存储芯片,2025-01-24,2025-02-27,2025-02-25,9700,9521,80,48.9,54.54,0
PO00225,SUP004,MCU控制芯片,2025-01-25,2025-03-12,2025-03-16,10800,10692,163,32.43,35.23,0
PO00231,SUP004,MCU控制芯片,2025-01-25,2025-03-07,2025-03-07,3600,3549,62,32.43,38.61,0
PO00278,SUP005,MCU控制芯片,2025-01-25,2025-02-19,2025-02-17,13500,12929,210,34.47,39.02,1
PO00570,SUP010,功率半导体,2025-01-25,2025-03-06,2025-03-05,5400,5355,39,21.51,21.1,1
PO00708,SUP012,功率半导体,2025-01-25,2025-02-12,2025-02-10,14700,14571,174,24.03,24.01,1
PO00842,SUP015,模拟芯片,2025-01-25,2025-02-08,2025-02-08,2600,2552,35,17.11,16.97,1
PO01466,SUP025,存储芯片,2025-01-25,2025-03-11,2025-03-10,12500,12318,105,42.2,43.25,1
PO00988,SUP017,模拟芯片,2025-01-26,2025-02-21,2025-02-19,4000,3907,33,15.65,16.7,0
PO01033,SUP018,模拟芯片,2025-01-26,2025-02-24,2025-02-24,9500,9304,83,19.23,19.39,1
PO01084,SUP019,传感器芯片,2025-01-26,2025-03-09,2025-03-07,9000,8888,73,27.56,27.74,1
PO01139,SUP019,传感器芯片,2025-01-26,2025-03-06,2025-03-05,4000,3897,36,27.56,26.27,1
PO01707,SUP029,存储芯片,2025-01-26,2025-03-05,2025-03-05,13200,13104,116,49.51,52.42,0
PO00287,SUP005,MCU控制芯片,2025-01-27,2025-02-20,2025-02-20,10000,9824,160,34.47,39.05,0
PO00637,SUP011,功率半导体,2025-01-27,2025-03-06,2025-03-04,3800,3758,44,25.67,25.39,1
PO01040,SUP018,模拟芯片,2025-01-27,2025-02-24,2025-02-26,6000,5978,45,19.23,19.3,1
PO01121,SUP019,传感器芯片,2025-01-27,2025-03-11,2025-03-11,10000,9785,65,27.56,27.5,1
PO00475,SUP008,功率半导体,2025-01-28,2025-03-04,2025-03-04,10600,10305,393,25.95,25.16,1
PO00508,SUP009,功率半导体,2025-01-28,2025-02-21,2025-02-18,5000,4992,88,23.47,23.25,1
PO01253,SUP021,传感器芯片,2025-01-28,2025-02-24,2025-02-21,11000,10687,96,25.29,25.57,1
PO01651,SUP028,存储芯片,2025-01-28,2025-03-01,2025-03-01,9000,8945,61,42.79,44.35,1
PO01702,SUP029,存储芯片,2025-01-28,2025-03-09,2025-03-06,4500,4402,25,49.51,48.64,1
PO01751,SUP030,存储芯片,2025-01-28,2025-02-11,2025-02-10,5800,5759,51,47.57,47.06,1
PO01157,SUP020,传感器芯片,2025-01-29,2025-03-11,2025-03-08,5800,5515,250,24.01,24.77,1
PO00445,SUP008,功率半导体,2025-01-30,2025-03-12,2025-03-12,10800,10218,388,25.95,26.61,1
PO01315,SUP022,传感器芯片,2025-01-30,2025-02-19,2025-02-16,14500,14196,100,30.23,30.84,1
PO01539,SUP026,存储芯片,2025-01-30,2025-03-11,2025-03-08,5200,5080,34,48.9,49.85,1
PO01267,SUP022,传感器芯片,2025-01-31,2025-02-18,2025-02-15,11500,11414,92,30.23,30.41,1
PO01316,SUP022,传感器芯片,2025-01-31,2025-02-23,2025-02-21,11000,10735,92,30.23,31.07,1
PO01433,SUP024,传感器芯片,2025-01-31,2025-02-23,2025-02-23,7500,6734,353,24.89,24.6,1
PO01773,SUP030,存储芯片,2025-01-31,2025-02-16,2025-02-14,12600,12277,104,47.57,49.35,1
PO00422,SUP008,功率半导体,2025-02-01,2025-03-11,2025-03-11,2900,2899,140,25.95,26.29,1
PO00604,SUP011,功率半导体,2025-02-01,2025-03-06,2025-03-04,13200,12935,163,25.67,24.99,1
PO00978,SUP017,模拟芯片,2025-02-01,2025-02-23,2025-02-21,8500,8371,79,15.65,15.53,1
PO01643,SUP028,存储芯片,2025-02-01,2025-03-03,2025-03-03,10000,9887,89,42.79,42.38,1
PO00246,SUP005,MCU控制芯片,2025-02-02,2025-02-26,2025-02-23,2500,2499,33,34.47,42.5,0
PO00582,SUP010,功率半导体,2025-02-02,2025-03-10,2025-03-07,6800,6776,53,21.51,21.41,1
PO01551,SUP026,存储芯片,2025-02-02,2025-03-11,2025-03-09,6900,6740,41,48.9,49.54,1
PO01623,SUP028,存储芯片,2025-02-02,2025-03-02,2025-02-27,2500,2448,21,42.79,43.67,1
PO01644,SUP028,存储芯片,2025-02-02,2025-03-04,2025-03-03,7000,6850,66,42.79,43.37,1
PO01755,SUP030,存储芯片,2025-02-02,2025-02-21,2025-02-18,5000,4996,51,47.57,47.55,1
PO00150,SUP003,MCU控制芯片,2025-02-03,2025-03-03,2025-02-28,7500,7347,67,32.91,33.28,1
PO00237,SUP004,MCU控制芯片,2025-02-03,2025-03-20,2025-03-17,14200,14026,196,32.43,41.68,0
PO01579,SUP027,存储芯片,2025-02-03,2025-03-05,2025-03-20,5300,4974,278,51.65,44.62,1
PO01760,SUP030,存储芯片,2025-02-03,2025-02-21,2025-02-20,4200,4177,30,47.57,47.25,1
PO00180,SUP003,MCU控制芯片,2025-02-04,2025-03-07,2025-03-06,5000,4941,37,32.91,32.64,1
PO00758,SUP013,模拟芯片,2025-02-04,2025-03-03,2025-03-03,3700,3644,33,19.27,18.89,1
PO01081,SUP019,传感器芯片,2025-02-04,2025-03-15,2025-03-14,8500,8310,65,27.56,28.13,1
PO00614,SUP011,功率半导体,2025-02-05,2025-03-14,2025-03-12,3400,3384,44,25.67,26.99,1
PO00711,SUP012,功率半导体,2025-02-05,2025-02-23,2025-02-20,11200,11156,152,24.03,24.35,1
PO01395,SUP024,传感器芯片,2025-02-05,2025-03-03,2025-02-28,8000,7450,400,24.89,25.44,1
PO01622,SUP028,存储芯片,2025-02-05,2025-03-07,2025-03-06,8000,7827,59,42.79,41.81,1
PO01639,SUP028,存储芯片,2025-02-05,2025-03-07,2025-03-07,7000,6978,59,42.79,43.03,1
PO01749,SUP030,存储芯片,2025-02-05,2025-02-19,2025-02-16,5000,4975,57,47.57,47.96,1
PO00337,SUP006,MCU控制芯片,2025-02-06,2025-03-16,2025-03-15,14400,14330,588,32.85,33.3,1
PO00681,SUP012,功率半导体,2025-02-06,2025-02-23,2025-02-20,8600,8270,101,24.03,24.52,1
PO01665,SUP028,存储芯片,2025-02-06,2025-03-10,2025-03-09,15000,14686,104,42.79,42.09,1
PO01736,SUP029,存储芯片,2025-02-06,2025-03-16,2025-03-16,3900,3794,31,49.51,49.83,1
PO00554,SUP010,功率半导体,2025-02-07,2025-03-21,2025-03-18,4700,4616,41,21.51,22.04,1
PO00557,SUP010,功率半导体,2025-02-07,2025-03-18,2025-03-15,15000,14740,128,21.51,21.32,1
PO00950,SUP016,模拟芯片,2025-02-07,2025-03-25,2025-03-25,2600,2589,13,16.57,16.79,1
PO01119,SUP019,传感器芯片,2025-02-07,2025-03-19,2025-03-17,6500,6350,66,27.56,27.32,1
PO01290,SUP022,传感器芯片,2025-02-07,2025-02-28,2025-02-25,14500,14109,129,30.23,30.02,1
PO01718,SUP029,存储芯片,2025-02-07,2025-03-17,2025-03-17,5800,5788,58,49.51,49.01,1
PO00466,SUP008,功率半导体,2025-02-08,2025-03-20,2025-03-18,6000,5696,214,25.95,25.72,1
PO00491,SUP009,功率半导体,2025-02-08,2025-03-05,2025-03-04,10000,9775,151,23.47,27.23,0
PO00857,SUP015,模拟芯片,2025-02-08,2025-02-20,2025-02-25,8000,7811,102,17.11,17.09,1
PO01176,SUP020,传感器芯片,2025-02-08,2025-03-19,2025-03-18,13600,13486,533,24.01,23.76,1
PO01353,SUP023,传感器芯片,2025-02-08,2025-03-03,2025-03-02,15000,14754,125,29.62,30.06,1
PO01547,SUP026,存储芯片,2025-02-08,2025-03-19,2025-03-18,11400,11108,84,48.9,47.6,1
PO00152,SUP003,MCU控制芯片,2025-02-09,2025-03-07,2025-03-06,14000,13608,93,32.91,33.05,1
PO00599,SUP010,功率半导体,2025-02-09,2025-03-21,2025-03-26,12700,12540,95,21.51,21.53,1
PO01003,SUP017,模拟芯片,2025-02-09,2025-03-06,2025-03-06,3000,2929,22,15.65,15.59,1
PO01045,SUP018,模拟芯片,2025-02-09,2025-03-09,2025-03-09,14500,14451,117,19.23,18.85,1
PO01088,SUP019,传感器芯片,2025-02-09,2025-03-20,2025-03-18,15000,14860,123,27.56,27.4,1
PO01340,SUP023,传感器芯片,2025-02-09,2025-03-04,2025-03-03,5400,5314,40,29.62,32.02,0
PO01486,SUP025,存储芯片,2025-02-09,2025-03-23,2025-03-23,6000,5909,48,42.2,42.59,1
PO01603,SUP027,存储芯片,2025-02-09,2025-03-13,2025-03-13,14300,12657,725,51.65,55.21,1
PO00066,SUP002,MCU控制芯片,2025-02-10,2025-03-10,2025-03-10,6400,6291,53,34.81,34.03,1
PO00189,SUP004,MCU控制芯片,2025-02-10,2025-03-24,2025-03-24,5800,5671,78,32.43,30.16,1
PO01056,SUP018,模拟芯片,2025-02-10,2025-03-15,2025-03-17,3500,3426,32,19.23,19.01,1
PO01678,SUP028,存储芯片,2025-02-10,2025-03-15,2025-03-13,4000,3994,36,42.79,43.08,1
PO01774,SUP030,存储芯片,2025-02-10,2025-02-28,2025-02-27,6800,6740,51,47.57,47.82,1
PO00014,SUP001,MCU控制芯片,2025-02-11,2025-03-18,2025-03-17,8000,7278,385,40.43,52.18,1
PO00147,SUP003,MCU控制芯片,2025-02-11,2025-03-09,2025-03-13,6500,6345,49,32.91,32.62,1
PO01141,SUP020,传感器芯片,2025-02-11,2025-03-23,2025-03-23,13900,13736,512,24.01,23.36,1
PO01393,SUP024,传感器芯片,2025-02-11,2025-03-07,2025-03-24,15000,14571,779,24.89,28.56,0
PO01103,SUP019,传感器芯片,2025-02-12,2025-03-22,2025-03-19,5000,4969,39,27.56,28.05,1
PO01109,SUP019,传感器芯片,2025-02-12,2025-03-24,2025-03-24,3000,2961,19,27.56,27.37,1
PO01104,SUP019,传感器芯片,2025-02-13,2025-03-25,2025-03-23,3500,3440,27,27.56,27.23,1
PO01602,SUP027,存储芯片,2025-02-13,2025-03-12,2025-03-12,8200,7873,429,51.65,45.5,1
PO00074,SUP002,MCU控制芯片,2025-02-14,2025-03-17,2025-03-18,9200,9085,63,34.81,34.7,1
PO01014,SUP017,模拟芯片,2025-02-14,2025-03-09,2025-03-12,12500,12462,102,15.65,15.47,1
PO01726,SUP029,存储芯片,2025-02-14,2025-03-20,2025-03-17,6400,6311,48,49.51,49.98,1
PO00516,SUP009,功率半导体,2025-02-15,2025-03-10,2025-03-09,4000,3854,56,23.47,27.35,0
PO00850,SUP015,模拟芯片,2025-02-15,2025-03-01,2025-02-26,6200,6093,69,17.11,17.16,1
PO01145,SUP020,传感器芯片,2025-02-15,2025-03-28,2025-03-27,5500,5498,218,24.01,23.91,1
PO01744,SUP030,存储芯片,2025-02-15,2025-03-05,2025-03-02,13000,12963,101,47.57,47.32,1
PO00200,SUP004,MCU控制芯片,2025-02-16,2025-03-28,2025-03-26,13800,13489,203,32.43,30.63,1
PO00628,SUP011,功率半导体,2025-02-16,2025-03-26,2025-03-23,4000,3717,63,25.67,26.55,1
PO00996,SUP017,模拟芯片,2025-02-16,2025-03-11,2025-03-10,8000,7760,51,15.65,15.81,1
PO01770,SUP030,存储芯片,2025-02-16,2025-03-03,2025-03-03,9800,9607,70,47.57,48.51,1
PO00769,SUP013,模拟芯片,2025-02-17,2025-03-19,2025-03-18,2800,2775,25,19.27,19.99,1
PO01417,SUP024,传感器芯片,2025-02-17,2025-03-14,2025-03-30,5500,5125,280,24.89,25.0,0
PO01706,SUP029,存储芯片,2025-02-17,2025-03-27,2025-03-27,3000,2941,18,49.51,48.83,1
PO01753,SUP030,存储芯片,2025-02-17,2025-03-03,2025-02-28,12000,11890,97,47.57,46.28,1
PO00431,SUP008,功率半导体,2025-02-19,2025-03-31,2025-03-29,11100,11040,436,25.95,26.34,1
PO00492,SUP009,功率半导体,2025-02-19,2025-03-17,2025-03-22,14000,13613,211,23.47,21.98,1
PO00415,SUP007,功率半导体,2025-02-20,2025-03-21,2025-03-21,3000,2941,25,25.7,26.03,1
PO00556,SUP010,功率半导体,2025-02-20,2025-03-28,2025-03-26,9200,9151,86,21.51,21.21,1
PO00853,SUP015,模拟芯片,2025-02-20,2025-03-08,2025-03-08,2200,2089,18,17.11,16.89,1
PO01286,SUP022,传感器芯片,2025-02-20,2025-03-11,2025-03-11,13000,12866,97,30.23,30.47,1
PO01652,SUP028,存储芯片,2025-02-20,2025-03-24,2025-03-25,10500,10295,87,42.79,42.99,1
PO00719,SUP012,功率半导体,2025-02-21,2025-03-08,2025-03-07,13500,13443,161,24.03,23.62,1
PO00816,SUP014,模拟芯片,2025-02-21,2025-03-25,2025-03-25,6500,6432,52,19.84,20.29,1
PO00822,SUP014,模拟芯片,2025-02-21,2025-03-27,2025-03-30,3500,3477,35,19.84,20.48,1
PO01347,SUP023,传感器芯片,2025-02-21,2025-03-16,2025-03-13,5600,5453,59,29.62,28.31,1
PO01703,SUP029,存储芯片,2025-02-21,2025-04-02,2025-04-01,11400,11211,86,49.51,50.92,1
PO00264,SUP005,MCU控制芯片,2025-02-22,2025-03-19,2025-03-24,14000,13979,208,34.47,37.85,1
